Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
38,Jangmo-o,,782,♀,61,29,0,14,10,53.3,3.0,3.0,,,,"2023-05-15 04:00",5/9/2023,30.03kg,0.61m,0,0,0,400,99.83%,8,99.60%,269200,325,Hakamo-o,,0,99.12%,37,99.01%,104700,231,Kommo-o,,0,98.80%,50,98.02%,49200,56,Jangmo-o,,0,
39,Jangmo-o,,782,♂,523,83,,,,73.0,20.0,20.0,Dragon Tail,,,"2023-05-15 04:00",,,0.64m,0,0,0,2500,28.81%,1590,95.72%,137000,155,Hakamo-o,,0,31.87%,1918,95.90%,47000,167,Kommo-o,,0,,,,,,,,,
40,Jangmo-o,,782,♀,528,84,,,,82.7,20.0,20.0,Dragon Tail,,,"2023-05-15 04:00",,,0.49m,0,0,0,2500,42.63%,1704,95.58%,123000,139,Hakamo-o,,0,77.24%,407,97.69%,47000,167,Kommo-o,,0,,,,,,,,,
41,Bruxish,,779,♀,240,46,,,,75.1,4.0,4.0,Confusion,,,"2023-05-15 04:00",,,0.93m,0,0,0,400,37.49%,1142,95.69%,57400,63,Bruxish,,0,69.47%,230,97.72%,432400,298,Bruxish,,0,48.65%,1160,92.83%,4000,7,Bruxish,,0,
42,Bruxish,,779,♀,242,45,,,,77.4,4.0,4.0,Water Gun,,,"2023-05-15 04:00",,14.74kg,0.75m,0,0,0,400,49.62%,1115,95.72%,57400,63,Bruxish,,0,67.26%,586,96.73%,406400,298,Bruxish,,0,53.83%,1466,92.11%,4000,7,Bruxish,,0,
43,Bruxish,,779,♂,1030,96,,,,64.4,16.0,16.0,Water Gun,Psychic Fangs,,"2023-05-15 03:59",,18.89kg,0.88m,0,0,0,1900,50.91%,637,96.40%,34600,32,Bruxish,,0,72.58%,133,98.12%,434600,264,Bruxish,,0,,,,,,,,,
44,Bruxish,,779,♂,1161,104,,,,68.9,18.0,18.0,Bite,,,"2023-05-15 03:59",,22.96kg,0.81m,0,0,0,2200,70.76%,407,96.85%,26400,24,Bruxish,,0,86.69%,121,98.18%,426400,256,Bruxish,,0,,,,,,,,,
45,Togedemaru,,777,♀,29,15,,,,69.0,1.0,1.0,Thunder Shock,Gyro Ball,,"2023-05-15 03:59",,1002kg,0.23m,0,0,0,200,29.69%,700,96.64%,80000,87,Togedemaru,,0,83.36%,170,95.30%,520000,304,Togedemaru,,0,59.35%,355,96.25%,7200,15,Togedemaru,,0,
46,Togedemaru,,777,♂,323,54,,,,42.8,6.0,6.0,Thunder Shock,Wild Charge,,"2023-05-15 03:59",,2.81kg,0.28m,0,0,0,600,50.76%,256,97.59%,84400,84,Togedemaru,,0,37.02%,1722,88.79%,516400,294,Togedemaru,,0,53.48%,22,98.68%,4400,6,Togedemaru,,0,
47,Togedemaru,,777,♂,1197,105,,,,83.7,20.0,20.0,Spark,Wild Charge,,"2023-05-15 03:59",,3.17kg,0.28m,0,0,0,2500,88.16%,309,97.45%,31000,28,Togedemaru,,0,97.18%,93,96.30%,475000,248,Togedemaru,,0,,,,,,,,,
48,Togedemaru,,777,♂,1203,105,,,,85.0,20.0,20.0,Thunder Shock,Wild Charge,,"2023-05-15 03:59",,1.17kg,0.24m,0,0,0,2500,39.40%,1870,95.17%,27500,25,Togedemaru,,0,97.20%,68,96.78%,475000,248,Togedemaru,,0,,,,,,,,,
49,Togedemaru,,777,♂,1212,105,15,11,13,86.7,20.0,20.0,Thunder Shock,Gyro Ball,,"2023-05-15 03:59",,4.93kg,0.36m,0,0,0,2500,37.95%,2542,94.42%,27500,25,Togedemaru,,0,97.56%,101,96.19%,475000,248,Togedemaru,,0,,,,,,,,,
50,Wimpod,,767,♀,265,61,,,,73.3,20.0,20.0,,,,"2023-05-15 03:59",,11.46kg,0.45m,0,0,0,2500,90.52%,250,89.87%,475000,248,Wimpod,,0,55.54%,1079,96.75%,60500,454,Golisopod,,0,82.23%,278,95.02%,363000,248,Wimpod,,0,
51,Wimpod,,767,♀,276,64,,,,91.1,20.0,20.0,,,,"2023-05-15 03:59",,10.64kg,0.41m,0,0,0,2500,99.01%,26,96.34%,475000,248,Wimpod,,0,76.30%,659,97.28%,56000,450,Golisopod,,0,90.39%,238,95.45%,278000,248,Wimpod,,0,
52,Wimpod,,767,♀,277,63,,,,88.9,20.0,20.0,Struggle Bug,,,"2023-05-15 03:59",,12.64kg,0.52m,0,0,0,2500,98.91%,23,96.48%,475000,248,Wimpod,,0,65.78%,868,96.99%,56000,450,Golisopod,,0,83.97%,212,95.53%,278000,248,Wimpod,,0,
53,Wimpod,,767,♂,279,63,,,,89.6,20.0,20.0,Struggle Bug,,,"2023-05-15 03:59",,8.43kg,043m,0,0,0,2500,99.23%,19,96.59%,475000,248,Wimpod,,0,10.79%,3575,93.88%,51500,446,Golisopod,,0,82.05%,621,93.34%,267000,248,Wimpod,,0,
54,Wimpod,,767,♀,285,63,15,15,14,97.8,20.0,20.0,,,,"2023-05-15 03:59",,3.74kg,0.38m,0,0,0,2500,99.98%,2,98.89%,475000,248,Wimpod,,0,42.05%,2374,95.38%,51500,446,Golisopod,,0,87.64%,507,93.78%,225000,248,Wimpod,,0,
55,Bounsweet,,761,♀,46,34,,,,80.0,4.0,4.0,,,,"2023-05-15 03:58",,4.16kg,0.34m,0,0,0,400,53.59%,301,97.14%,34000,167,Tsareena,,0,41.91%,916,96.88%,128400,249,Tsareena,,0,95.87%,3,99.16%,518400,298,Bounsweet,,0,
56,Bounsweet,,761,♀,160,72,,,,40.6,16.0,16.0,,,,"2023-05-15 03:58",,4.48kg,0.36m,0,0,0,1900,59.29%,488,96.67%,12600,137,Tsareena,,0,81.73%,131,98.28%,147600,263,Tsareena,,0,84.09%,149,96.98%,78100,95,Steenee,,0,
57,Bounsweet,,761,♀,160,68,,,,65.5,14.0,14.0,,,,"2023-05-15 03:58",,3.51kg,0.29m,0,0,0,1600,73.66%,20,98.66%,17400,143,Tsareena,,0,67.27%,225,97.95%,121600,235,Tsareena,,0,68.34%,621,90.91%,499600,272,Bounsweet,,0,
58,Bounsweet,,761,♀,198,71,,,,95.6,15.0,15.0,,,,"2023-05-15 03:58",,2.59kg,0.25m,0,0,0,1900,34.80%,2270,94.36%,9800,135,Tsareena,,0,44.77%,1731,96.08%,91400,207,Tsareena,,0,97.75%,26,97.90%,384400,268,Bounsweet,,0,
59,Bounsweet,,761,♀,290,84,15,14,12,91.1,22.0,22.0,,,,"2023-05-15 03:58",,4.57kg,0.37m,0,0,0,3000,99.51%,21,96.81%,464000,263,Steenee,,0,20.56%,3254,94.63%,59000,177,Tsareena,,0,95.60%,181,95.53%,352000,238,Bounsweet,,0,
60,Stufful,,759,♂,98,40,,,,89.7,3.0,3.0,,,,"2023-05-15 03:58",,7.19kg,0.46m,0,0,0,400,98.83%,1,100%,519200,300,Stufful,,0,49.28%,387,97.77%,104700,506,Bewear,,0,47.56%,1051,94.15%,16400,24,Stufful,,0,
61,Stufful,,759,♀,205,59,,,,65.1,6.0,6.0,,,,"2023-05-15 03:58",,11.04kg,0.64m,0,0,0,600,49.29%,281,97.04%,29800,436,Bewear,,0,56.80%,20,99.22%,111400,508,Bewear,,0,69.62%,329,97.17%,0,400,Bewear,,0,
62,Stufful,,759,♂,293,70,,,,84.0,8.0,8.0,,,,"2023-05-15 03:58",,8.65kg,0.58m,0,0,0,800,95.62%,59,97.75%,513600,290,Stufful,,0,39.96%,1127,96.73%,99100,496,Bewear,,0,21.79%,2327,92.03%,10800,14,Stufful,,0,
63,Stufful,,759,♀,295,69,,,,85.1,8.0,8.0,,,,"2023-05-15 03:58",,8.2kg,0.56m,0,0,0,800,97.27%,43,98.06%,513600,290,Stufful,,0,51.23%,1099,96.77%,99100,496,Bewear,,0,29.39%,2053,92.47%,10800,14,Stufful,,0,
64,Stufful,,759,♀,399,81,,,,71.5,11.0,11.0,,,,"2023-05-15 03:58",,3.92kg,0.39m,0,0,0,1300,73.67%,43,98.29%,21400,426,Bewear,,0,38.86%,660,97.31%,98000,494,Bewear,,0,37.20%,889,94.46%,6800,10,Stufful,,0,
65,Stufful,,759,♀,411,81,,,,83.7,11.0,11.0,,,,"2023-05-15 03:58",,4.44kg,0.38m,0,0,0,1300,96.73%,43,98.06%,508000,284,Stufful,,0,47.12%,1099,96.77%,93500,490,Bewear,,0,28.33%,2053,92.47%,5200,8,Stufful,,0,
66,Stufful,,759,♂,566,96,,,,90.0,15.0,15.0,Tackle,,,"2023-05-15 03:58",,6073kg,0.48m,0,0,0,1900,99.15%,4,99.36%,496400,268,Stufful,,0,46.14%,1250,96.61%,81900,474,Bewear,,0,,,,,,,,,
67,Stufful,,759,♂,572,96,,,,94.4,15.0,15.0,Take Down,,,"2023-05-15 03:57",,3.8kg,0.44m,0,0,0,1900,99.27%,2,99.44%,481400,268,Stufful,,0,40.92%,1962,95.88%,77400,470,Bewear,,0,,,,,,,,,
68,Salandit,,757,♀,615,86,,,,80.7,20.0,20.0,Ember,,,"2023-05-15 03:57",,4.85kg,0.64m,0,0,0,2500,43.05%,1378,95.84%,8000,57,Salazzle,,0,57.28%,1162,96.45%,289000,298,Salazzle,,0,,,,,,,,,
69,Salandit,,757,♂,617,88,,,,85.2,20.0,20.0,Ember,Dragon Pulse,,"2023-05-15 03:57",,5.46kg,0.67m,0,0,0,2500,97.13%,49,95.92%,475000,248,Salandit,,0,97.13%,49,95.92%,475000,248,Salandit,,0,,,,,,,,,
70,Morelull,,755,♀,305,57,,,,68.9,11.0,11.0,,,,"2023-05-15 03:57",,1.61kg,0.21m,0,0,0,1300,32.53%,1190,96.24%,103000,148,Shiinotic,,0,84.14%,286,94.31%,508000,334,Shiinotic,,0,47.96%,846,94.61%,23600,28,Morelull,,0,
71,Morelull,,755,♀,446,67,,,,52.2,17.0,17.0,Astonish,,,"2023-05-15 03:57",,1.12kg,0.17m,0,0,0,2200,65.24%,1150,96.30%,104800,142,Shiinotic,,0,50.49%,1915,88.07%,488800,310,Shiinotic,,0,72.12%,816,94.66%,8800,8,Morelull,,0,
72,Morelull,,755,♂,449,73,,,,61.4,17.0,17.0,,,,"2023-05-15 03:57",,1.26kg,0.2m,0,0,0,2200,79.14%,62,98.71%,98800,136,Shiinotic,,0,74.47%,604,92.39%,488800,310,Shiinotic,,0,53.91%,590,95.23%,6600,6,Morelull,,0,
73,Fomantis,,753,♂,399,78,,,,78.9,20.0,20.0,,,,"2023-05-15 03:57",,2.36kg,0.57m,0,0,0,2500,62.06%,1140,95.99%,14000,63,Lurantis,,0,70.63%,466,96.98%,363000,298,Lurantis,,0,64.77%,748,94.34%,31000,28,Fomantis,,0,
74,Fomantis,,753,♂,415,80,,,,93.3,20.0,20.0,Razor Leaf,,,"2023-05-15 03:57",,1.79kg,0.33m,0,0,0,2500,69.91%,1135,96.00%,11000,60,Lurantis,,0,74.74%,1017,96.03%,313000,298,Lurantis,,0,59.26%,1527,92.67%,24000,22,Fomantis,,0,
75,Fomantis,,753,♂,415,78,14,15,12,91.1,20.0,20.0,Razor Leaf,,,"2023-05-15 03:57",,1141kg,0.29m,0,0,0,2500,61.44%,1580,95.46%,11000,60,Lurantis,,0,72.19%,1140,95.86%,313000,298,Lurantis,,0,64.10%,1471,92.78%,24000,22,Fomantis,,0,
76,Toxapex,,748,♂,961,90,15,14,15,97.8,20.0,20.0,Bite,,,"2023-05-15 03:57",,12.42kg,0.65m,0,0,0,2500,30.72%,2838,93.46%,97000,86,Toxapex,,0,99.98%,2,99.65%,475000,248,Toxapex,,0,,,,,,,,,
77,Mareanie,,747,♂,516,87,,,,70.4,20.0,20.0,Poison Sting,,,"2023-05-15 03:57",,4.28kg,0.3m,0,0,0,2500,40.05%,2175,94.46%,153000,200,Toxapex,,0,83.11%,649,92.22%,475000,298,Toxapex,,0,,,,,,,,,
78,Mareanie,,747,♀,517,89,,,,71.6,20.0,20.0,Bite,,,"2023-05-15 03:57",,13.57kg,0049m,0,0,0,2500,41.86%,2147,94.50%,145000,190,Toxapex,,0,90.30%,358,93.88%,475000,298,Toxapex,,0,,,,,,,,,
79,Mareanie,,747,♂,528,89,,,,81.5,20.0,20.0,Poison Sting,,,"2023-05-15 03:56",,5.22kg,036m,0,0,0,2500,43.78%,1864,94.95%,137000,180,Toxapex,,0,95.73%,156,95.56%,475000,298,Toxapex,,0,,,,,,,,,
80,Mareanie,,747,♀,546,90,,,,93.3,20.0,20.0,Poison Sting,,,"2023-05-15 03:56",,8.53kg,0.37m,0,0,0,2500,36.34%,2324,94.23%,109000,148,Toxapex,,0,99.65%,11,98.61%,475000,298,Toxapex,,0,,,,,,,,,
81,Rockruff,,744,♂,517,84,,,,81.1,20.0,20.0,,,,"2023-05-15 03:56",,7.31kg,0.44m,0,0,0,2500,69.83%,1201,96.02%,0,50,Lycanroc,Dusk,0,62.12%,897,97.10%,145000,190,Lycanroc,Midnight,0,,,,,,,,,
82,Rockruff,,744,♂,523,83,,,,83.7,20.0,20.0,,,,"2023-05-15 03:56",,10.02kg,0.51m,0,0,0,2500,77.26%,590,96.60%,0,50,Lycanroc,Midday,0,56.91%,1197,96.62%,153000,200,Lycanroc,Dusk,0,,,,,,,,,
83,Rockruff,,744,♀,537,85,15,13,15,95.6,20.0,20.0,,,,"2023-05-15 03:56",,10.29kg,0.52m,0,0,0,2500,99.78%,10,97.85%,475000,248,Rockruff,,0,64.20%,1467,96.36%,137000,180,Lycanroc,Dusk,0,,,,,,,,,
84,Rockruff,,744,♀,537,85,15,13,15,95.6,20.0,20.0,,,,"2023-05-15 03:56",,7.89kg,0.43m,0,0,0,2500,99.78%,10,97.85%,475000,248,Rockruff,,0,64.20%,1467,96.36%,137000,180,Lycanroc,Dusk,0,,,,,,,,,
85,Rockruff,,744,♀,539,84,15,15,13,95.6,20.0,20.0,,,,"2023-05-15 03:56",,6.95kg,0.38m,0,0,0,2500,99.85%,7,98.33%,475000,248,Rockruff,,0,65.03%,1433,96.39%,145000,190,Lycanroc,Midday,0,,,,,,,,,
86,Ribombee,,743,♀,1223,99,,,,81.8,20.0,20.0,Fairy Wind,Dazzling Gleam,,"2023-05-15 03:56",,0.59kg,0.19m,0,0,0,2500,70.32%,409,97.36%,27500,25,Ribombee,,0,95.83%,84,96.74%,475000,248,Ribombee,,0,,,,,,,,,
87,Oricorio,Pom-Pom,741,♀,1964,140,,,,75.6,31.0,31.0,Air Slash,,,"2023-05-15 03:56",,5.31kg,0.74m,0,0,0,6000,,,,,,,,,77.43%,483,96.74%,332000,174,Oricorio,Pom-Pom,0,,,,,,,,,
88,Crabrawler,,739,♀,132,37,,,,67.5,4.0,4.0,,,,"2023-05-15 03:56",,11.75kg,0.79m,0,0,0,400,69.99%,18,99.00%,38400,96,Crabominable,,0,56.36%,56,98.94%,159400,206,Crabominable,,0,88.08%,1,100%,2600,55,Crabominable,,0,
89,Grubbin,,736,♀,12,13,,,,58.9,1.0,1.0,,,,"2023-05-15 03:56",,5.36kg,0.42m,0,0,0,200,58.77%,1,100%,35600,173,Vikavolt,,0,53.64%,1,100%,130000,255,Vikavolt,,0,66.10%,9,99.24%,3600,135,Vikavolt,,0,
90,Grubbin,,736,♂,94,37,,,,68.8,4.0,4.0,,,,"2023-05-15 03:56",,4.38kg,0.43m,0,0,0,400,72.62%,12,99.33%,31800,165,Vikavolt,,0,43.38%,151,98.38%,113400,237,Vikavolt,,0,82.94%,52,98.48%,2000,129,Vikavolt,,0,
91,Grubbin,,736,♂,94,37,,,,68.8,4.0,4.0,,,,"2023-05-15 03:55",,9.56kg,0.59m,0,0,0,400,72.62%,12,99.33%,31800,165,Vikavolt,,0,43.38%,151,98.38%,113400,237,Vikavolt,,0,82.94%,52,98.48%,2000,129,Vikavolt,,0,
92,Grubbin,,736,♀,95,35,,,,64.5,4.0,4.0,Bug Bite,,,"2023-05-15 03:55",,2.4kg,0.3m,0,0,0,400,55.59%,260,97.60%,31800,165,Vikavolt,,0,21.11%,1194,96.78%,113400,237,Vikavolt,,0,77.43%,354,96.83%,2000,129,Vikavolt,,0,
93,Grubbin,,736,♂,147,46,,,,64.5,6.0,6.0,,,,"2023-05-15 03:55",,3.28kg,0.34m,0,0,0,600,57.61%,79,98.43%,29800,161,Vikavolt,,0,58.35%,143,98.42%,111400,233,Vikavolt,,0,75.76%,93,98.10%,0,125,Vikavolt,,0,
94,Grubbin,,736,♀,230,58,,,,25.6,10.0,10.0,,,,"2023-05-15 03:55",,3.16kg,0.33m,0,0,0,1000,69.53%,483,97.52%,302000,311,Charjabug,,0,64.51%,545,97.56%,138000,255,Vikavolt,,0,66.53%,395,95.87%,43000,45,Grubbin,,0,
95,Grubbin,,736,♂,330,68,,,,60.6,13.0,13.0,,,,"2023-05-15 03:55",,4kg,0.4m,0,0,0,1600,49.40%,395,97.69%,196800,223,Charjabug,,0,51.17%,83,98.68%,97800,215,Vikavolt,,0,52.09%,224,96.57%,25300,26,Grubbin,,0,
96,Grubbin,,736,♀,331,70,,,,38.4,14.0,14.0,Bug Bite,,,"2023-05-15 03:55",,3.86kg,0.41m,0,0,0,1600,81.84%,58,98.90%,259600,297,Charjabug,,0,79.03%,171,98.34%,115600,229,Vikavolt,,0,78.41%,192,96.73%,29600,28,Grubbin,,0,
